stage,quantile_overnight,quantile_day,days,plan_kwh,adjusted_kwh,plan_cost,adjustment_cost,emergency_kwh,emergency_cost,spill_kwh,charge_kwh,discharge_kwh,total_cost,storage_end,seconds
fine,0.6,0.6,334,20506836.54006298,21165575.483358957,12502869.719777888,785257.5123567658,47836.98081679572,269648.9192722601,2014571.7053140886,6631948.651113238,5372297.38721825,13557776.151406914,5788.255214443927,146.62987749999593
fine,0.625,0.55,334,20327995.49195103,21024615.640541803,12360117.721640939,844654.0718212234,64584.77430808216,368025.81785584154,1885824.4144227463,6655410.433142205,5391223.9276817255,13572797.611318005,5769.801423857627,138.5143379000001
fine,0.625,0.575,334,20429668.945598427,21102380.803098347,12436441.023781572,808880.8517357451,55374.752868716816,314409.27950854227,1956894.2725812648,6642406.797612463,5380735.009193326,13559731.155025858,5775.939695430186,138.02855860000273
fine,0.625,0.6,334,20531548.12498252,21183380.882841434,12513731.447837241,777357.2716823099,47386.46903414685,267871.06627433974,2032712.5422710774,6627812.076075673,5368946.761437819,13558959.785793891,5788.255214443927,141.9719660999981
fine,0.65,0.5,334,20153788.74932116,20895883.434338234,12222017.64418885,916340.8516801115,85035.96200043525,488605.5287691275,1774964.5400723934,6668679.461107223,5401914.099807619,13626964.024638088,5738.64512124295,142.00839030000498
fine,0.65,0.525,334,20252493.191782244,20967847.76668588,12295826.900452826,876043.6301790329,73976.22888334082,423828.209393917,1837316.8870143632,6661186.774889806,5395869.161301621,13595698.740025776,5752.173597595023,139.83636470000056
fine,0.65,0.55,334,20352926.766910776,21042820.756618753,12371094.425041577,837151.0560482958,63998.9565033391,365581.0665454401,1904221.2140577754,6651318.320706205,5387909.316608565,13573826.547635313,5769.801423857627,138.05346460000146
fine,0.65,0.575,334,20454615.83137278,21120701.860103145,12447431.073005335,801380.8977290065,54803.12321867257,312035.62002194044,1975416.0970809858,6638341.549481062,5377442.158206891,13560847.590756282,5775.939695430186,138.72321419999935
fine,0.65,0.6,334,20556485.73621206,21201752.91374016,12524718.827417122,769805.6874065055,47014.41714761101,266534.9916377229,2051555.4656880395,6623375.526576951,5365353.156343862,13561059.50646135,5788.255214443927,141.707676799997
slice-day,0.6,0.7,334,20938789.168718718,21534002.028000206,12833704.783378255,696498.3856359256,25231.0667032105,138599.48886667355,2377272.432059937,6543885.968808644,5301114.801131843,13668802.657880854,5838.867362034945,160.81630089999817
slice-day,0.6,0.4,334,19701223.44102255,20586587.30985484,11901202.855391238,1139956.6966558055,148463.19375479198,855332.6657831847,1529034.7023495282,6669020.016065496,5402193.709772073,13896492.21783023,5670.495975221993,163.14260790000117
slice-day,0.6,0.3,334,19280585.572650302,20317270.973764192,11588400.79786067,1406068.9904554908,237569.76011609202,1370576.3629995142,1358991.0080378787,6615391.903976173,5358731.673100445,14365046.151315676,5597.4567149968125,164.08452560000296
slice-day,0.6,0.2,334,18808716.206346683,20033842.742721017,11237065.29946137,1750748.4694387915,374355.73418464366,2157158.224160162,1232343.8207007782,6509884.241712238,5273219.080474021,15144971.993060324,5514.745403549857,166.20591470000363
slice-day,0.6,0.8,334,21447414.84722845,22012383.15041889,13232688.398215193,657007.8771245097,12438.479397525085,65662.09782033852,2868749.2145371577,6408396.148256626,5191513.227944027,13955358.37316004,5913.447913674051,162.04877999999735
slice-night,0.5,0.6,334,20412455.342503004,21103139.072664626,12461326.772885332,821983.0181093434,50516.97139044235,281052.4968606741,1951588.9671819268,6648929.272226323,5386051.6903198445,13564362.28785535,5788.255214443927,164.74390679999487
slice-night,0.7,0.6,334,20608412.617953453,21242192.848220985,12547589.663770493,756611.8078819783,45770.78033091663,261859.1287534831,2092444.3724357209,6614467.0577160325,5358137.296566521,13566060.600405954,5788.255214443927,165.57575899999938
slice-night,0.45,0.6,334,20365793.136313207,21076411.761699267,12440814.783413036,845115.8512049742,52816.54849947085,291037.1070557347,1925888.5643434068,6655627.530027312,5391477.279138649,13576967.741673745,5788.255214443927,168.1185972999956
slice-night,0.75,0.6,334,20666176.76563513,21289877.284925994,12572991.51514306,745012.8606717132,44874.081480203946,258568.54234981863,2140907.7085455614,6605648.119528857,5350993.956634901,13576572.918164592,5788.255214443927,117.28554010000516
slice-night,0.8,0.6,334,20735187.44094794,21349361.539355382,12603282.508732084,734249.9415877027,43890.39983598638,255154.75945773767,2201292.112443285,6595733.218936494,5342962.887155084,13592687.209777525,5788.255214443927,116.39938729999994
slice-night,0.85,0.6,334,20816909.56486027,21422235.33800813,12639203.91979446,724426.7641476624,42639.83580704942,250524.18005930833,2274937.667401923,6585089.427700642,5334341.416254044,13614154.86400143,5788.255214443927,116.56889710000542
slice-night,0.9,0.6,334,20927087.286027864,21521686.16544917,12687823.59686702,712404.920105389,41771.4906520014,247186.9348305323,2375341.4892164115,6575503.430182183,5326576.758264095,13647415.45180294,5788.255214443927,114.95242660000076
slice-night,0.95,0.6,334,21084552.725087386,21665698.720815156,12757573.559859553,697237.329073601,41000.76165971248,243467.73421132544,2520543.771814107,6565185.239529634,5318219.0238355305,13698278.62314448,5788.255214443927,116.41875360000267
