series,time,samples,old_MAE,new_MAE,new_minus_old_MAE,old_RMSE,new_RMSE,old_bias,new_bias,old_corr,new_corr
load,17:20,334,192.94131272455093,187.58573936638433,-5.355573358166595,273.2294579185399,256.185172389305,-0.43304086826349536,1.780408756417246,0.9853250268009526,0.9870466659970101
load,17:30,334,202.32236526946113,198.62624188470355,-3.696123384757584,283.55400586548814,270.9394874561229,-3.1822155688623206,-1.0236558933198074,0.9847385766915834,0.9860139589175272
load,17:40,334,200.18743188622753,192.05803271072224,-8.129399175505284,283.4933009945905,265.5664341785074,-3.2420809880239414,-0.46246189305160074,0.9862578405751518,0.987906752820275
load,17:50,334,199.26805628742517,188.58031221585725,-10.68774407156792,279.21663488960354,253.9812738416094,-1.9842649700598605,0.01529028871157438,0.979988347660403,0.9833944282301572
load,18:00,334,189.99770958083838,183.05021905742117,-6.947490523417201,273.76931705817583,246.81510652182303,-1.1863922155688762,-0.9543747541340304,0.9541677138635186,0.963528500846826
load,18:10,334,180.61479700598807,161.6963057682588,-18.918491237729256,254.02250684684023,219.83304855802282,-0.9696943113772495,-0.924851738127456,0.9553430786414185,0.9672767657298446
load,18:20,334,181.91037365269463,167.35988128544227,-14.55049236725236,262.30338003546916,227.22639775218218,-0.24797934131735988,0.3166091003538631,0.9591072794164032,0.9697469601044937
load,18:30,334,202.06190119760475,190.63867034565962,-11.423230851945135,292.3622061652077,266.4653885737787,0.9619011976047948,1.544976330109203,0.9489392694451511,0.9583728158921645
load,18:40,334,196.03365673652698,187.4267672308704,-8.606889505656568,280.3884937272723,256.0998713710273,1.294555838323384,1.2430739372899786,0.95400783257266,0.9625201690017675
load,18:50,334,197.23854296407185,183.49829871715446,-13.740244246917399,278.4747433484421,249.4823536540058,-0.3416372754490804,0.049030158188987136,0.9543105888876152,0.9641723629560697
load,19:00,334,205.3533233532934,188.8343050576081,-16.5190182956853,285.0243808097616,253.8943329453027,-2.5152694610778563,-0.8904541068400957,0.9507987056804773,0.9618048464140352
